query,rougeL_f,latency_s,has_text
¿Qué papel tuvieron los actores civiles en el conflicto armado colombiano?,0.01731120153790607,0.18573689460754395,True
¿Cómo explica la Comisión las causas y responsabilidades de las violaciones de derechos humanos?,0.020427367182905314,0.06538867950439453,True
¿Cómo documenta la Comisión las prácticas de reclutamiento forzado y secuestro como estrategias de guerra?,0.0,0.06286334991455078,True
¿Cómo contribuyeron la disciplina interna y las normas de control social de los grupos armados al mantenimiento de la violencia?,0.06482338713040577,0.10738849639892578,True
¿Qué impacto tuvo el desplazamiento forzado sobre comunidades afrocolombianas?,0.0,0.11751914024353027,True
¿Cuáles fueron los principales patrones de violaciones a los derechos humanos?,0.02152732314090962,0.05894613265991211,True
¿Cómo participaron las empresas privadas en el conflicto armado?,0.033263951999843645,0.055023193359375,True
¿Qué papel jugaron las fuerzas armadas del Estado?,0.0,0.12657880783081055,True
¿Qué políticas se propusieron para garantizar la no repetición?,0.0,0.1640005111694336,True
¿Cómo se aborda la verdad y la reconciliación en el informe final?,0.011110230918524972,0.05358695983886719,True
